feature,mean_abs_shap,experiment,seed,fold
s4,0.005031677970650177,feature_ablation_xgboost_baseline,42,-1
s5,0.005297607487661926,feature_ablation_xgboost_baseline,42,-1
s6,0.003669822299152989,feature_ablation_xgboost_baseline,42,-1
target,0.006240086839993683,feature_ablation_xgboost_baseline,42,-1
age,0.0052445525380934764,feature_ablation_xgboost_baseline,42,-1
bmi,0.006366696262754632,feature_ablation_xgboost_baseline,42,-1
bp,0.009779853331976415,feature_ablation_xgboost_baseline,42,-1
s1,0.004405866543517422,feature_ablation_xgboost_baseline,42,-1
s2,0.0027401411484492154,feature_ablation_xgboost_baseline,42,-1
s3,0.011045854378184299,feature_ablation_xgboost_baseline,42,-1
s4,0.003109144426817195,feature_ablation_xgboost_baseline,42,-1
s5,0.004847415702656987,feature_ablation_xgboost_baseline,42,-1
s6,0.0060334906613946,feature_ablation_xgboost_baseline,42,-1
target,0.005886540592325565,feature_ablation_xgboost_baseline,42,-1
age,0.004782976288724951,feature_ablation_xgboost_baseline,42,-1
bmi,0.00742825903365818,feature_ablation_xgboost_baseline,42,-1
bp,0.008805651118920448,feature_ablation_xgboost_baseline,42,-1
s1,0.0050213292709072295,feature_ablation_xgboost_baseline,42,-1
s2,0.002517769446185585,feature_ablation_xgboost_baseline,42,-1
s3,0.012529240723752938,feature_ablation_xgboost_baseline,42,-1
s4,0.004053695287695099,feature_ablation_xgboost_baseline,42,-1
s5,0.0029777548737221506,feature_ablation_xgboost_baseline,42,-1
s6,0.004413615183736366,feature_ablation_xgboost_baseline,42,-1
target,0.006141451494127386,feature_ablation_xgboost_baseline,42,-1
age,0.00474005266560344,feature_ablation_xgboost_baseline,42,-1
bmi,0.007543934711744261,feature_ablation_xgboost_baseline,42,-1
bp,0.010685548941221187,feature_ablation_xgboost_baseline,42,-1
s1,0.0034460405151947628,feature_ablation_xgboost_baseline,42,-1
s2,0.0026854895140064504,feature_ablation_xgboost_baseline,42,-1
s3,0.01054373207607068,feature_ablation_xgboost_baseline,42,-1
s4,0.006482801885854092,feature_ablation_xgboost_baseline,42,-1
s5,0.004106529212452806,feature_ablation_xgboost_baseline,42,-1
s6,0.0036318579243209115,feature_ablation_xgboost_baseline,42,-1
target,0.007413308918356362,feature_ablation_xgboost_baseline,42,-1
age,0.006004831478498902,feature_ablation_xgboost_poly2,42,-1
bmi,0.006588995952519065,feature_ablation_xgboost_poly2,42,-1
bp,0.0073817430615747415,feature_ablation_xgboost_poly2,42,-1
s1,0.0035048701351512303,feature_ablation_xgboost_poly2,42,-1
s2,0.002100600991278512,feature_ablation_xgboost_poly2,42,-1
s3,0.013445696317176164,feature_ablation_xgboost_poly2,42,-1
s4,0.003426620264777673,feature_ablation_xgboost_poly2,42,-1
s5,0.004544855168625939,feature_ablation_xgboost_poly2,42,-1
s6,0.0034230095909084097,feature_ablation_xgboost_poly2,42,-1
target,0.005884839722376369,feature_ablation_xgboost_poly2,42,-1
age,0.0051437525042799135,feature_ablation_xgboost_poly2,42,-1
bmi,0.006184804829764633,feature_ablation_xgboost_poly2,42,-1
bp,0.009060282275810053,feature_ablation_xgboost_poly2,42,-1
s1,0.0028939962062110936,feature_ablation_xgboost_poly2,42,-1
s2,0.002142545695567099,feature_ablation_xgboost_poly2,42,-1
s3,0.009614756002190689,feature_ablation_xgboost_poly2,42,-1
s4,0.0048794394599208386,feature_ablation_xgboost_poly2,42,-1
s5,0.004851648620763744,feature_ablation_xgboost_poly2,42,-1
s6,0.0035631689717754863,feature_ablation_xgboost_poly2,42,-1
target,0.004805589237736521,feature_ablation_xgboost_poly2,42,-1
age,0.005585096566604467,feature_ablation_xgboost_poly2,42,-1
bmi,0.00668192686687841,feature_ablation_xgboost_poly2,42,-1
bp,0.008608434883567877,feature_ablation_xgboost_poly2,42,-1
s1,0.0028220229331868164,feature_ablation_xgboost_poly2,42,-1
s2,0.001855063217342417,feature_ablation_xgboost_poly2,42,-1
s3,0.012701521598032305,feature_ablation_xgboost_poly2,42,-1
s4,0.002537666706819516,feature_ablation_xgboost_poly2,42,-1
